commission,role,name,source
Energy,Fellow,Arnau-Miguel Rodriguez Suàrez,website
Energy,Fellow,Marilyn Mabel Gilbert,website
Energy,Fellow,Advait Desai,website
Energy,Fellow,Saptarshi Mukherjee,website
Energy,Fellow,Marilyn Mabel Gilbert,website
Energy,Fellow,Sofia Rufino,website
Energy,Fellow,Saptarshi Mukherjee,website
Energy,Fellow,Saptarshi Mukherjee,website
Energy,Fellow,Saptarshi Mukherjee,website
Energy,Fellow,Saptarshi Mukherjee,website
Energy,Fellow,Saptarshi Mukherjee,website
Energy,Fellow,Federica Li Bassi,website
Energy,Fellow,Mateo Andrés Escobar Bolívar,website
Energy,Fellow,Mateo Andrés Escobar Bolívar,website
Energy,Fellow,Mateo Andrés Escobar Bolívar,website
Energy,Fellow,Mateo Andrés Escobar Bolívar,website
Energy,Fellow,Mateo Andrés Escobar Bolívar,website
Energy,Fellow,Dmitry Genchev,website
Energy,Fellow,Mateo Andrés Escobar Bolívar,website
Energy,Fellow,Dmitry Genchev,website
European Identity,Fellow,Ali Benrabah,website
European Identity,Fellow,Carlotta Ferracina,website
European Identity,Fellow,Ali Benrabah,website
European Identity,Fellow,Aidan Cross,website
European Identity,Fellow,Carlotta Ferracina,website
European Identity,Fellow,Ali Benrabah,website
European Identity,Fellow,Carlotta Ferracina,website
European Identity,Fellow,Carlotta Ferracina,website
European Identity,Fellow,Carlotta Ferracina,website
European Identity,Fellow,Edoardo Nepi,website
European Identity,Fellow,Gaïa Molinaro,website
European Identity,Fellow,Carlotta Ferracina,website
European Identity,Fellow,Gaïa Molinaro,website
European Identity,Fellow,Gaïa Molinaro,website
European Identity,Fellow,Gaïa Molinaro,website
Finance & Capital Markets,Commissioner,Eugenia Prete,website
Finance & Capital Markets,Fellow,Ulysse Ha Thuc,website
Finance & Capital Markets,Fellow,Corentin Dubreucq-Pérus,website
Finance & Capital Markets,Fellow,Niccolò Rotondi,website
Finance & Capital Markets,Fellow,Niccolò Rotondi,website
Finance & Capital Markets,Fellow,Corentin Dubreucq-Pérus,website
Finance & Capital Markets,Fellow,Niccolò Rotondi,website
Finance & Capital Markets,Fellow,Corentin Dubreucq-Pérus,website
Finance & Capital Markets,Fellow,Corentin Dubreucq-Pérus,website
Finance & Capital Markets,Fellow,Corentin Dubreucq-Pérus,website
Finance & Capital Markets,Fellow,Tommaso Bruni,website
Finance & Capital Markets,Fellow,Federico Fiscaletti,website
Finance & Capital Markets,Fellow,Corentin Dubreucq-Pérus,website
Finance & Capital Markets,Fellow,Kawana Brancallião,website
Finance & Capital Markets,Fellow,Federico Fiscaletti,website
Finance & Capital Markets,Fellow,Federico Fiscaletti,website
Finance & Capital Markets,Fellow,Federico Fiscaletti,website
Finance & Capital Markets,Fellow,Federico Fiscaletti,website
Finance & Capital Markets,Fellow,Federico Fiscaletti,website
Finance & Capital Markets,Fellow,Jas Levell,website
Finance & Capital Markets,Fellow,Federico Sodano,website
Finance & Capital Markets,Fellow,Federico Sodano,website
Finance & Capital Markets,Fellow,Niccolò Pirani,website
Finance & Capital Markets,Fellow,Niccolò Pirani,website
Finance & Capital Markets,Fellow,Federico Sodano,website
Foreign Policy,Commissioner,Giulio M. Boggetti,website
Foreign Policy,Fellow,Giulio Draghetti,website
Foreign Policy,Fellow,Gabriele Mammarella,website
Foreign Policy,Fellow,Constantin Tremmel,website
Foreign Policy,Fellow,Constantin Tremmel,website
Foreign Policy,Fellow,Gabriele Mammarella,website
Foreign Policy,Fellow,Constantin Tremmel,website
Foreign Policy,Fellow,Gabriele Mammarella,website
Foreign Policy,Fellow,Gabriele Mammarella,website
Foreign Policy,Fellow,Gabriele Mammarella,website
Foreign Policy,Fellow,Oscar Eveno,website
Foreign Policy,Fellow,Leonardo Beria,website
Foreign Policy,Fellow,Gabriele Mammarella,website
Foreign Policy,Fellow,Leonardo Beria,website
Foreign Policy,Fellow,Leonardo Beria,website
Foreign Policy,Fellow,Leonardo Beria,website
Immigration,Commissioner,Lia Bassanini,website
Immigration,Fellow,Clément Levrat,website
Immigration,Fellow,Antonino Enrico Repaci,website
Immigration,Fellow,Clément Levrat,website
Immigration,Fellow,Keyan Roubaie,website
Immigration,Fellow,Antonino Enrico Repaci,website
Immigration,Fellow,Clément Levrat,website
Immigration,Fellow,Antonino Enrico Repaci,website
Immigration,Fellow,Antonino Enrico Repaci,website
Immigration,Fellow,Antonino Enrico Repaci,website
Immigration,Fellow,Tomás Consonni,website
Immigration,Fellow,Rusa Malaguradze,website
Immigration,Fellow,Antonino Enrico Repaci,website
Immigration,Fellow,Agnese Colotta,website
Immigration,Fellow,Rusa Malaguradze,website
Immigration,Fellow,Rusa Malaguradze,website
Immigration,Fellow,Rusa Malaguradze,website
Immigration,Fellow,Rusa Malaguradze,website
Immigration,Fellow,Rusa Malaguradze,website
Immigration,Fellow,Sinem Øzbal,website
Immigration,Fellow,David Malacarne,website
Immigration,Fellow,Filippo Negri,website
Immigration,Fellow,Filippo Negri,website
Immigration,Fellow,David Malacarne,website
Immigration,Fellow,Filippo Negri,website
Immigration,Fellow,David Malacarne,website
Immigration,Fellow,David Malacarne,website
Immigration,Fellow,David Malacarne,website
Immigration,Fellow,Egemen Aray,website
Immigration,Fellow,Anna Puricelli,website
Immigration,Fellow,David Malacarne,website
Immigration,Fellow,Anna Puricelli,website
Immigration,Fellow,Anna Puricelli,website
Immigration,Fellow,Anna Puricelli,website
Immigration,Fellow,Paulius Danielius,website
Immigration,Fellow,Paulius Danielius,website
Immigration,Fellow,Paulius Danielius,website
Immigration,Fellow,Ilaria Ronconi,website
Immigration,Fellow,Paulius Danielius,website
Immigration,Fellow,Paulius Danielius,website
Legal Affairs,Commissioner,Maddalena Vigo,website
Legal Affairs,Fellow,Estella Neumayr,website
Legal Affairs,Fellow,Laura Miró Pellicer,website
Legal Affairs,Fellow,Laura Miró Pellicer,website
Legal Affairs,Fellow,Laura Miró Pellicer,website
Legal Affairs,Fellow,Laura Miró Pellicer,website
Legal Affairs,Fellow,Laura Miró Pellicer,website
Legal Affairs,Fellow,Magdalena Georgieva,website
Legal Affairs,Fellow,Laura Miró Pellicer,website
Legal Affairs,Fellow,Magdalena Georgieva,website
Legal Affairs,Fellow,Vansh Minocha,website
Legal Affairs,Fellow,Margherita Carboni,website
Legal Affairs,Fellow,Magdalena Georgieva,website
Legal Affairs,Fellow,Margherita Carboni,website
Legal Affairs,Fellow,Margherita Carboni,website
Legal Affairs,Fellow,Margherita Carboni,website
Legal Affairs,Fellow,Teo Pizzati,website
Legal Affairs,Fellow,Margherita Carboni,website
Legal Affairs,Fellow,Margherita Carboni,website
Legal Affairs,Fellow,Aldo Fittante,website
Legal Affairs,Fellow,Nicola Povinelli,website
Legal Affairs,Fellow,Nicola Povinelli,website
Legal Affairs,Fellow,Nicola Povinelli,website
Legal Affairs,Fellow,Nicola Povinelli,website
Legal Affairs,Fellow,Nicola Povinelli,website
Legal Affairs,Fellow,Nicola Povinelli,website
Legal Affairs,Fellow,Jasmine Sabbatini,website
Legal Affairs,Fellow,Jasmine Sabbatini,website
Legal Affairs,Fellow,Jasmine Sabbatini,website
Legal Affairs,Fellow,Jasmine Sabbatini,website
Legal Affairs,Fellow,Louise Tabary,website
Legal Affairs,Fellow,Jasmine Sabbatini,website
Legal Affairs,Fellow,Francesca Sacco,website
Legal Affairs,Fellow,Francesca Sacco,website
Legal Affairs,Fellow,Jasmine Sabbatini,website
Legal Affairs,Fellow,Francesca Sacco,website
Legal Affairs,Fellow,Carlotta Fattor,website
Legal Affairs,Fellow,Carlotta Fattor,website
Legal Affairs,Fellow,Carlotta Fattor,website
Legal Affairs,Fellow,Sofia Montanino,website
Legal Affairs,Fellow,Carlotta Fattor,website
Legal Affairs,Fellow,Carlotta Fattor,website
Legal Affairs,Fellow,Giada Grassi,website
Legal Affairs,Fellow,Carlotta Fattor,website
Legal Affairs,Fellow,Martina Mancini,website
Legal Affairs,Fellow,Martina Mancini,website
Legal Affairs,Fellow,Eleonora Rambelli,website
Legal Affairs,Fellow,Martina Mancini,website
Legal Affairs,Fellow,Eleonora Rambelli,website
Legal Affairs,Fellow,Eleonora Rambelli,website
Legal Affairs,Fellow,Eleonora Rambelli,website
Legal Affairs,Fellow,Andrea Casali,website
Legal Affairs,Fellow,Eleonora Rambelli,website
Legal Affairs,Fellow,Eleonora Rambelli,website
Technology,Commissioner,Tommaso Ferracina,website
Technology,Fellow,Stefano Serra,website
Technology,Fellow,Katarina Malešev,website
Technology,Fellow,Steffen Timmann,website
Technology,Fellow,Steffen Timmann,website
Technology,Fellow,Katarina Malešev,website
Technology,Fellow,Steffen Timmann,website
Technology,Fellow,Katarina Malešev,website
Technology,Fellow,Katarina Malešev,website
Technology,Fellow,Katarina Malešev,website
Technology,Fellow,Sara Farinella,website
Technology,Fellow,Suriyaa Sundararuban,website
Technology,Fellow,Katarina Malešev,website
Technology,Fellow,Matteo Mio,website
Technology,Fellow,Suriyaa Sundararuban,website
Technology,Fellow,Suriyaa Sundararuban,website
Technology,Fellow,Suriyaa Sundararuban,website
Technology,Fellow,Suriyaa Sundararuban,website
Technology,Fellow,Suriyaa Sundararuban,website
